individual,repro_output_two,repro_output_one,repro_output,year,site,box,hole,nest_start,straw_id,lookup_id,species,genus,sex,nest_end,nest_duration,emergence_year_plus_one,emergence_year_plus_two,size,parasitized,parasite_id,questionable_id,notes
104,7,0,7,2012,judd_falls,5,a9,163,99,2012.judd_falls.5.a9,Osmia_iridis,Osmia,male,174,12,NA,149,s,no,NA,NA,NA
106,1,0,1,2012,judd_falls,5,b5,163,101,2012.judd_falls.5.b5,Osmia_pikei,Osmia,female,171,9,NA,153,s,no,NA,yes,NA
109,4,0,4,2012,judd_falls,5,b8,172,104,2012.judd_falls.5.b8,Osmia_iridis,Osmia,female,174,3,NA,174,s,no,NA,yes,NA
109,4,0,4,2012,judd_falls,5,b8,172,104,2012.judd_falls.5.b8,Osmia_iridis,Osmia,female,174,3,NA,174,s,no,NA,yes,NA
109,4,0,4,2012,judd_falls,5,b8,172,104,2012.judd_falls.5.b8,Osmia_iridis,Osmia,male,174,3,NA,174,s,no,NA,yes,NA
109,4,0,4,2012,judd_falls,5,b8,172,104,2012.judd_falls.5.b8,Osmia_iridis,Osmia,male,174,3,NA,174,s,no,NA,yes,NA
111,1,0,1,2012,judd_falls,5,c7,174,106,2012.judd_falls.5.c7,Osmia_iridis,Osmia,male,181,8,NA,149,s,no,NA,yes,NA
137,3,0,3,2012,pelton_bench,4,a2,169,128,2012.pelton_bench.4.a2,Osmia_pikei,Osmia,female,171,3,NA,156,s,no,NA,NA,NA
137,3,0,3,2012,pelton_bench,4,a2,169,128,2012.pelton_bench.4.a2,Osmia_pikei,Osmia,female,171,3,NA,156,s,no,NA,NA,NA
137,3,0,3,2012,pelton_bench,4,a2,169,128,2012.pelton_bench.4.a2,Osmia_pikei,Osmia,female,171,3,NA,156,s,no,NA,NA,NA
147,6,0,6,2012,pelton_bench,4,b4,163,135,2012.pelton_bench.4.b4,Osmia_pikei,Osmia,female,181,19,NA,156,s,no,NA,NA,NA
147,6,0,6,2012,pelton_bench,4,b4,163,135,2012.pelton_bench.4.b4,Osmia_pikei,Osmia,female,181,19,NA,156,s,no,NA,NA,NA
147,6,0,6,2012,pelton_bench,4,b4,163,135,2012.pelton_bench.4.b4,Osmia_pikei,Osmia,male,181,19,NA,149,s,no,NA,NA,NA
147,6,0,6,2012,pelton_bench,4,b4,163,135,2012.pelton_bench.4.b4,Osmia_pikei,Osmia,female,181,19,NA,156,s,no,NA,NA,NA
147,6,0,6,2012,pelton_bench,4,b4,163,135,2012.pelton_bench.4.b4,Osmia_pikei,Osmia,female,181,19,NA,156,s,no,NA,NA,NA
147,6,0,6,2012,pelton_bench,4,b4,163,135,2012.pelton_bench.4.b4,Osmia_pikei,Osmia,male,181,19,NA,149,s,no,NA,NA,NA
149,5,0,5,2012,pelton_bench,4,b7,169,137,2012.pelton_bench.4.b7,Osmia_pikei,Osmia,female,171,3,NA,156,s,no,NA,NA,NA
149,5,0,5,2012,pelton_bench,4,b7,169,137,2012.pelton_bench.4.b7,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
149,5,0,5,2012,pelton_bench,4,b7,169,137,2012.pelton_bench.4.b7,Osmia_pikei,Osmia,male,171,3,NA,156,s,no,NA,NA,NA
149,5,0,5,2012,pelton_bench,4,b7,169,137,2012.pelton_bench.4.b7,Osmia_pikei,Osmia,male,171,3,NA,156,s,no,NA,NA,NA
149,5,0,5,2012,pelton_bench,4,b7,169,137,2012.pelton_bench.4.b7,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
159,1,0,1,2012,pelton_bench,7,b6,171,147,2012.pelton_bench.7.b6,Osmia_iridis,Osmia,male,191,21,NA,156,s,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,149,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,149,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,149,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,149,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,153,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,153,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,153,m,no,NA,NA,NA
196,8,0,8,2012,townsite,4,c5,171,184,2012.townsite.4.c5,Osmia_iridis,Osmia,male,178,8,NA,153,m,no,NA,NA,NA
267,2,0,2,2012,weather_station,4,b8,178,252,2012.weather_station.4.b8,Osmia_pikei,Osmia,NA,183,6,NA,149,s,no,NA,yes,NA
267,2,0,2,2012,weather_station,4,b8,178,252,2012.weather_station.4.b8,Osmia_pikei,Osmia,NA,183,6,NA,160,s,no,NA,yes,NA
268,2,0,2,2012,weather_station,4,c10,171,253,2012.weather_station.4.c10,Osmia_iridis,Osmia,female,174,4,NA,181,s,no,NA,yes,NA
268,2,0,2,2012,weather_station,4,c10,171,253,2012.weather_station.4.c10,Osmia_iridis,Osmia,female,174,4,NA,181,s,no,NA,yes,NA
271,5,0,5,2012,weather_station,7,a5,169,256,2012.weather_station.7.a5,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
271,5,0,5,2012,weather_station,7,a5,169,256,2012.weather_station.7.a5,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
271,5,0,5,2012,weather_station,7,a5,169,256,2012.weather_station.7.a5,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
271,5,0,5,2012,weather_station,7,a5,169,256,2012.weather_station.7.a5,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
271,5,0,5,2012,weather_station,7,a5,169,256,2012.weather_station.7.a5,Osmia_pikei,Osmia,male,171,3,NA,149,s,no,NA,NA,NA
273,2,0,2,2012,weather_station,7,b4,181,258,2012.weather_station.7.b4,Osmia_pikei,Osmia,male,183,3,NA,149,s,no,NA,NA,NA
273,2,0,2,2012,weather_station,7,b4,181,258,2012.weather_station.7.b4,Osmia_pikei,Osmia,male,183,3,NA,149,s,no,NA,NA,NA
276,1,0,1,2012,weather_station,7,c6,188,261,2012.weather_station.7.c6,Osmia_pikei,Osmia,NA,195,8,NA,149,s,no,NA,NA,NA
284,1,0,1,2013,401_trailhead,1,b7,171,269,2013.401_trailhead.1.b7,Osmia_montana,Osmia,female,178,8,NA,173,m,no,NA,NA,NA
300,1,0,1,2013,401_trailhead,2,b6,182,275,2013.401_trailhead.2.b6,Osmia_montana,Osmia,male,187,6,NA,162,s,no,NA,NA,NA
339,1,0,1,2013,401_trailhead,8,b7,156,313,2013.401_trailhead.8.b7,Osmia_subaustralis,Osmia,female,158,3,NA,173,m,no,NA,NA,NA
343,4,0,4,2013,401_trailhead,9,b3,168,317,2013.401_trailhead.9.b3,Osmia_subaustralis,Osmia,female,175,8,NA,155,l,no,NA,NA,NA
343,4,0,4,2013,401_trailhead,9,b3,168,317,2013.401_trailhead.9.b3,Osmia_subaustralis,Osmia,male,175,8,NA,155,l,no,NA,NA,NA
343,4,0,4,2013,401_trailhead,9,b3,168,317,2013.401_trailhead.9.b3,Osmia_subaustralis,Osmia,female,175,8,NA,162,l,no,NA,NA,NA
343,4,0,4,2013,401_trailhead,9,b3,168,317,2013.401_trailhead.9.b3,Osmia_subaustralis,Osmia,female,175,8,NA,162,l,no,NA,NA,NA
344,1,0,1,2013,401_trailhead,9,b4,168,318,2013.401_trailhead.9.b4,Osmia_montana,Osmia,male,178,11,NA,155,m,no,NA,NA,NA
345,1,0,1,2013,401_trailhead,9,b5,175,319,2013.401_trailhead.9.b5,Osmia_montana,Osmia,male,178,4,NA,155,s,no,NA,NA,NA
346,3,0,3,2013,401_trailhead,9,b6,168,323,2013.401_trailhead.9.b6,Osmia_montana,Osmia,male,178,11,NA,155,l,no,NA,NA,NA
346,3,0,3,2013,401_trailhead,9,b6,168,323,2013.401_trailhead.9.b6,Osmia_montana,Osmia,male,178,11,NA,155,l,no,NA,NA,NA
346,3,0,3,2013,401_trailhead,9,b6,168,323,2013.401_trailhead.9.b6,Osmia_montana,Osmia,male,178,11,NA,155,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,148,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,148,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,148,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,148,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,148,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,152,l,no,NA,NA,NA
351,7,0,7,2013,401_trailhead,9,c5,161,328,2013.401_trailhead.9.c5,Osmia_montana,Osmia,male,168,8,NA,152,l,no,NA,NA,NA
352,4,0,4,2013,401_trailhead,9,c7,182,329,2013.401_trailhead.9.c7,Osmia_montana,Osmia,male,190,9,NA,152,s,no,NA,NA,NA
352,4,0,4,2013,401_trailhead,9,c7,182,329,2013.401_trailhead.9.c7,Osmia_montana,Osmia,male,190,9,NA,155,s,no,NA,NA,NA
352,4,0,4,2013,401_trailhead,9,c7,182,329,2013.401_trailhead.9.c7,Osmia_montana,Osmia,female,190,9,NA,155,s,no,NA,NA,NA
352,4,0,4,2013,401_trailhead,9,c7,182,329,2013.401_trailhead.9.c7,Osmia_montana,Osmia,female,190,9,NA,155,s,no,NA,NA,NA
362,2,0,2,2013,baker,3,c4,158,349,2013.baker.3.c4,Osmia_iridis,Osmia,male,171,14,NA,155,s,no,NA,NA,NA
362,2,0,2,2013,baker,3,c4,158,349,2013.baker.3.c4,Osmia_iridis,Osmia,male,171,14,NA,152,s,no,NA,NA,NA
369,4,0,4,2013,baker,7,a2,164,356,2013.baker.7.a2,Osmia_iridis,Osmia,female,171,8,NA,169,s,no,NA,NA,NA
369,4,0,4,2013,baker,7,a2,164,356,2013.baker.7.a2,Osmia_iridis,Osmia,female,171,8,NA,169,s,no,NA,NA,NA
369,4,0,4,2013,baker,7,a2,164,356,2013.baker.7.a2,Osmia_iridis,Osmia,male,171,8,NA,152,s,no,NA,NA,NA
369,4,0,4,2013,baker,7,a2,164,356,2013.baker.7.a2,Osmia_iridis,Osmia,male,171,8,NA,152,s,no,NA,NA,NA
372,3,0,3,2013,baker,7,b2,173,359,2013.baker.7.b2,Osmia_iridis,Osmia,NA,175,3,NA,159,m,no,Wasp sp,NA,NA
372,3,0,3,2013,baker,7,b2,173,359,2013.baker.7.b2,Osmia_iridis,Osmia,NA,175,3,NA,152,m,no,Wasp sp,NA,NA
372,3,0,3,2013,baker,7,b2,173,359,2013.baker.7.b2,Osmia_iridis,Osmia,male,175,3,NA,152,m,no,NA,NA,NA
373,6,0,6,2013,baker,7,b4,161,360,2013.baker.7.b4,Osmia_iridis,Osmia,female,168,8,NA,173,m,no,NA,NA,NA
373,6,0,6,2013,baker,7,b4,161,360,2013.baker.7.b4,Osmia_iridis,Osmia,female,168,8,NA,173,m,no,NA,NA,NA
373,6,0,6,2013,baker,7,b4,161,360,2013.baker.7.b4,Osmia_iridis,Osmia,male,168,8,NA,159,m,no,NA,NA,NA
373,6,0,6,2013,baker,7,b4,161,360,2013.baker.7.b4,Osmia_iridis,Osmia,male,168,8,NA,155,m,no,NA,NA,NA
373,6,0,6,2013,baker,7,b4,161,360,2013.baker.7.b4,Osmia_iridis,Osmia,male,168,8,NA,152,m,no,NA,NA,NA
373,6,0,6,2013,baker,7,b4,161,360,2013.baker.7.b4,Osmia_iridis,Osmia,male,168,8,NA,152,m,no,NA,NA,NA
384,3,0,3,2013,bench_aspen,6,b1,175,371,2013.bench_aspen.6.b1,Osmia_iridis,Osmia,female,187,13,NA,159,m,no,NA,yes,NA
384,3,0,3,2013,bench_aspen,6,b1,175,371,2013.bench_aspen.6.b1,Osmia_iridis,Osmia,male,187,13,NA,148,m,no,NA,yes,NA
384,3,0,3,2013,bench_aspen,6,b1,175,371,2013.bench_aspen.6.b1,Osmia_iridis,Osmia,male,187,13,NA,148,m,no,NA,yes,NA
386,4,0,4,2013,bench_aspen,6,c1,173,373,2013.bench_aspen.6.c1,Osmia_iridis,Osmia,female,175,3,NA,156,s,no,NA,NA,NA
386,4,0,4,2013,bench_aspen,6,c1,173,373,2013.bench_aspen.6.c1,Osmia_iridis,Osmia,female,175,3,NA,156,s,no,NA,NA,NA
386,4,0,4,2013,bench_aspen,6,c1,173,373,2013.bench_aspen.6.c1,Osmia_iridis,Osmia,female,175,3,NA,156,s,no,NA,NA,NA
386,4,0,4,2013,bench_aspen,6,c1,173,373,2013.bench_aspen.6.c1,Osmia_iridis,Osmia,male,175,3,NA,148,s,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,female,171,4,NA,166,m,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,female,171,4,NA,152,m,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,male,171,4,NA,152,m,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,male,171,4,NA,152,m,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,male,171,4,NA,152,m,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,male,171,4,NA,152,m,no,NA,NA,NA
394,7,0,7,2013,ehrlich,10,a5,168,408,2013.ehrlich.10.a5,Osmia_iridis,Osmia,male,171,4,NA,152,m,no,NA,NA,NA
396,4,0,4,2013,ehrlich,10,b4,164,410,2013.ehrlich.10.b4,Osmia_iridis,Osmia,female,171,8,NA,162,m,no,NA,NA,NA
396,4,0,4,2013,ehrlich,10,b4,164,410,2013.ehrlich.10.b4,Osmia_iridis,Osmia,female,171,8,NA,162,m,no,NA,NA,NA
396,4,0,4,2013,ehrlich,10,b4,164,410,2013.ehrlich.10.b4,Osmia_iridis,Osmia,female,171,8,NA,162,m,no,NA,NA,NA
396,4,0,4,2013,ehrlich,10,b4,164,410,2013.ehrlich.10.b4,Osmia_iridis,Osmia,female,171,8,NA,162,m,no,NA,NA,NA
397,5,0,5,2013,ehrlich,10,b6,182,411,2013.ehrlich.10.b6,Osmia_iridis,Osmia,female,187,6,NA,159,s,no,NA,NA,NA
397,5,0,5,2013,ehrlich,10,b6,182,411,2013.ehrlich.10.b6,Osmia_iridis,Osmia,male,187,6,NA,155,s,no,NA,NA,NA
397,5,0,5,2013,ehrlich,10,b6,182,411,2013.ehrlich.10.b6,Osmia_iridis,Osmia,male,187,6,NA,155,s,no,NA,NA,NA
397,5,0,5,2013,ehrlich,10,b6,182,411,2013.ehrlich.10.b6,Osmia_iridis,Osmia,male,187,6,NA,155,s,no,NA,NA,NA
397,5,0,5,2013,ehrlich,10,b6,182,411,2013.ehrlich.10.b6,Osmia_iridis,Osmia,male,187,6,NA,155,s,no,NA,NA,NA
405,2,0,2,2013,ehrlich,2,b3,164,382,2013.ehrlich.2.b3,Osmia_iridis,Osmia,male,171,8,NA,159,s,no,NA,NA,NA
405,2,0,2,2013,ehrlich,2,b3,164,382,2013.ehrlich.2.b3,Osmia_iridis,Osmia,male,171,8,NA,159,s,no,NA,NA,NA
423,1,0,1,2013,ehrlich,5,a4,169,392,2013.ehrlich.5.a4,Osmia_iridis,Osmia,male,171,3,NA,152,s,no,NA,NA,NA
432,5,0,5,2013,ehrlich,9,a3,175,400,2013.ehrlich.9.a3,Osmia_iridis,Osmia,female,178,4,NA,162,s,no,NA,NA,NA
432,5,0,5,2013,ehrlich,9,a3,175,400,2013.ehrlich.9.a3,Osmia_iridis,Osmia,female,178,4,NA,162,s,no,NA,NA,NA
432,5,0,5,2013,ehrlich,9,a3,175,400,2013.ehrlich.9.a3,Osmia_iridis,Osmia,female,178,4,NA,162,s,no,NA,NA,NA
432,5,0,5,2013,ehrlich,9,a3,175,400,2013.ehrlich.9.a3,Osmia_iridis,Osmia,male,178,4,NA,152,s,no,NA,NA,NA
432,5,0,5,2013,ehrlich,9,a3,175,400,2013.ehrlich.9.a3,Osmia_iridis,Osmia,male,178,4,NA,152,s,no,NA,NA,NA
435,3,0,3,2013,ehrlich,9,a9,180,403,2013.ehrlich.9.a9,Osmia_iridis,Osmia,female,182,3,NA,159,s,no,NA,NA,NA
435,3,0,3,2013,ehrlich,9,a9,180,403,2013.ehrlich.9.a9,Osmia_iridis,Osmia,male,182,3,NA,155,s,no,NA,NA,NA
435,3,0,3,2013,ehrlich,9,a9,180,403,2013.ehrlich.9.a9,Osmia_iridis,Osmia,male,182,3,NA,152,s,no,NA,NA,NA
436,4,0,4,2013,ehrlich,9,b2,171,404,2013.ehrlich.9.b2,Osmia_iridis,Osmia,female,175,5,NA,155,s,no,NA,NA,NA
436,4,0,4,2013,ehrlich,9,b2,171,404,2013.ehrlich.9.b2,Osmia_iridis,Osmia,male,175,5,NA,152,s,no,NA,NA,NA
436,4,0,4,2013,ehrlich,9,b2,171,404,2013.ehrlich.9.b2,Osmia_iridis,Osmia,male,175,5,NA,152,s,no,NA,NA,NA
436,4,0,4,2013,ehrlich,9,b2,171,404,2013.ehrlich.9.b2,Osmia_iridis,Osmia,male,175,5,NA,152,s,no,NA,NA,NA
440,1,0,1,2013,forrest_meadow,10,a7,176,451,2013.forrest_meadow.10.a7,Osmia_iridis,Osmia,male,178,3,NA,152,s,no,NA,NA,NA
441,3,0,3,2013,forrest_meadow,10,b3,166,452,2013.forrest_meadow.10.b3,Osmia_iridis,Osmia,male,168,3,NA,152,s,no,NA,NA,NA
441,3,0,3,2013,forrest_meadow,10,b3,166,452,2013.forrest_meadow.10.b3,Osmia_iridis,Osmia,male,168,3,NA,152,s,no,NA,NA,NA
441,3,0,3,2013,forrest_meadow,10,b3,166,452,2013.forrest_meadow.10.b3,Osmia_iridis,Osmia,male,168,3,NA,152,s,no,NA,NA,NA
450,1,0,1,2013,forrest_meadow,12,b4,158,461,2013.forrest_meadow.12.b4,Osmia_iridis,Osmia,female,164,7,NA,169,m,no,NA,NA,NA
460,5,0,5,2013,forrest_meadow,15,c2,168,470,2013.forrest_meadow.15.c2,Osmia_iridis,Osmia,male,171,4,NA,155,m,no,NA,NA,NA
460,5,0,5,2013,forrest_meadow,15,c2,168,470,2013.forrest_meadow.15.c2,Osmia_iridis,Osmia,male,171,4,NA,155,m,no,NA,NA,NA
460,5,0,5,2013,forrest_meadow,15,c2,168,470,2013.forrest_meadow.15.c2,Osmia_iridis,Osmia,male,171,4,NA,155,m,no,NA,NA,NA
460,5,0,5,2013,forrest_meadow,15,c2,168,470,2013.forrest_meadow.15.c2,Osmia_iridis,Osmia,male,171,4,NA,155,m,no,NA,NA,NA
460,5,0,5,2013,forrest_meadow,15,c2,168,470,2013.forrest_meadow.15.c2,Osmia_iridis,Osmia,female,171,4,NA,162,m,no,NA,NA,NA
461,4,0,4,2013,forrest_meadow,15,c8,176,471,2013.forrest_meadow.15.c8,Osmia_iridis,Osmia,male,178,3,NA,152,s,no,NA,NA,NA
461,4,0,4,2013,forrest_meadow,15,c8,176,471,2013.forrest_meadow.15.c8,Osmia_iridis,Osmia,female,178,3,NA,162,s,no,NA,NA,NA
461,4,0,4,2013,forrest_meadow,15,c8,176,471,2013.forrest_meadow.15.c8,Osmia_iridis,Osmia,female,178,3,NA,162,s,no,NA,NA,NA
461,4,0,4,2013,forrest_meadow,15,c8,176,471,2013.forrest_meadow.15.c8,Osmia_iridis,Osmia,female,178,3,NA,162,s,no,NA,NA,NA
462,3,0,3,2013,forrest_meadow,17,a4,176,472,2013.forrest_meadow.17.a4,Osmia_iridis,Osmia,male,178,3,NA,166,s,no,NA,NA,NA
462,3,0,3,2013,forrest_meadow,17,a4,176,472,2013.forrest_meadow.17.a4,Osmia_iridis,Osmia,male,178,3,NA,166,s,no,NA,NA,subaustralis?
462,3,0,3,2013,forrest_meadow,17,a4,176,472,2013.forrest_meadow.17.a4,Osmia_iridis,Osmia,female,178,3,NA,166,s,no,NA,NA,NA
464,6,0,6,2013,forrest_meadow,17,a7,173,474,2013.forrest_meadow.17.a7,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
464,6,0,6,2013,forrest_meadow,17,a7,173,474,2013.forrest_meadow.17.a7,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
464,6,0,6,2013,forrest_meadow,17,a7,173,474,2013.forrest_meadow.17.a7,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
464,6,0,6,2013,forrest_meadow,17,a7,173,474,2013.forrest_meadow.17.a7,Osmia_iridis,Osmia,female,175,3,NA,155,s,no,NA,NA,NA
464,6,0,6,2013,forrest_meadow,17,a7,173,474,2013.forrest_meadow.17.a7,Osmia_iridis,Osmia,female,175,3,NA,169,s,no,NA,NA,NA
464,6,0,6,2013,forrest_meadow,17,a7,173,474,2013.forrest_meadow.17.a7,Osmia_iridis,Osmia,female,175,3,NA,169,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,male,175,3,NA,155,s,no,NA,NA,NA
467,7,0,7,2013,forrest_meadow,17,b6,173,477,2013.forrest_meadow.17.b6,Osmia_iridis,Osmia,female,175,3,NA,166,s,no,NA,NA,NA
468,5,0,5,2013,forrest_meadow,17,b9,161,478,2013.forrest_meadow.17.b9,Osmia_iridis,Osmia,male,168,8,NA,152,s,no,NA,NA,NA
468,5,0,5,2013,forrest_meadow,17,b9,161,478,2013.forrest_meadow.17.b9,Osmia_iridis,Osmia,male,168,8,NA,166,s,no,NA,NA,NA
468,5,0,5,2013,forrest_meadow,17,b9,161,478,2013.forrest_meadow.17.b9,Osmia_iridis,Osmia,female,168,8,NA,166,s,no,NA,NA,NA
468,5,0,5,2013,forrest_meadow,17,b9,161,478,2013.forrest_meadow.17.b9,Osmia_iridis,Osmia,female,168,8,NA,166,s,no,NA,NA,NA
468,5,0,5,2013,forrest_meadow,17,b9,161,478,2013.forrest_meadow.17.b9,Osmia_iridis,Osmia,female,168,8,NA,169,s,no,NA,NA,NA
471,1,0,1,2013,forrest_meadow,17,c8,175,481,2013.forrest_meadow.17.c8,Osmia_iridis,Osmia,male,178,4,NA,155,s,no,NA,NA,NA
474,2,0,2,2013,forrest_meadow,18,c5,164,484,2013.forrest_meadow.18.c5,Osmia_iridis,Osmia,male,168,5,NA,152,m,no,NA,NA,NA
474,2,0,2,2013,forrest_meadow,18,c5,164,484,2013.forrest_meadow.18.c5,Osmia_iridis,Osmia,male,168,5,NA,152,m,no,NA,NA,NA
479,2,0,2,2013,forrest_meadow,2,a7,180,426,2013.forrest_meadow.2.a7,Osmia_iridis,Osmia,male,182,3,NA,155,s,no,NA,NA,NA
479,2,0,2,2013,forrest_meadow,2,a7,180,426,2013.forrest_meadow.2.a7,Osmia_iridis,Osmia,male,182,3,NA,155,s,no,NA,NA,NA
490,2,0,2,2013,forrest_meadow,6,b4,169,437,2013.forrest_meadow.6.b4,Osmia_iridis,Osmia,male,171,3,NA,155,m,no,NA,NA,NA
